epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta_start,mean_beta_end,mean_t_switch
1,0.381967,0.381967,0.000000,1.859838,94.9479,0.9686,2.1172,0.6952,0.7013,0.5000
2,0.378532,0.378532,0.000000,1.852346,93.7594,0.9723,2.1136,0.7047,0.7191,0.4962
3,0.375504,0.375504,0.000000,1.845581,92.7478,0.9805,2.1071,0.7242,0.7444,0.5071
4,0.372542,0.372542,0.000000,1.838853,91.7728,0.9980,2.1053,0.7556,0.7748,0.5343
5,0.369578,0.369578,0.000000,1.832175,90.8416,1.0224,2.1068,0.7964,0.8071,0.5640
6,0.366607,0.366607,0.000000,1.825628,89.9537,1.0505,2.1088,0.8457,0.8394,0.5899
7,0.363603,0.363603,0.000000,1.819598,89.1423,1.0817,2.1113,0.9013,0.8734,0.6150
8,0.360497,0.360497,0.000000,1.813438,88.3326,1.1171,2.1163,0.9619,0.9096,0.6401
9,0.357189,0.357189,0.000000,1.806738,87.4587,1.1578,2.1254,1.0277,0.9439,0.6626
10,0.353792,0.353792,0.000000,1.799680,86.5664,1.2045,2.1397,1.0982,0.9729,0.6804
11,0.350711,0.350400,0.031115,1.792452,85.7072,1.2568,2.1592,1.1520,0.9981,0.6984
12,0.348294,0.347399,0.089566,1.785865,85.1157,1.3136,2.1824,1.1787,0.9919,0.7133
13,0.345728,0.344667,0.106023,1.779859,84.8045,1.3741,2.2071,1.1959,0.9921,0.7209
14,0.343159,0.341904,0.125444,1.773628,84.5306,1.4386,2.2331,1.2105,1.0031,0.7245
15,0.340614,0.339070,0.154391,1.767168,84.2716,1.5070,2.2449,1.2245,1.0188,0.7227
16,0.337821,0.336264,0.155736,1.760678,83.8034,1.5813,2.2451,1.2389,1.0361,0.7272
17,0.335006,0.333270,0.173639,1.753828,83.4278,1.6596,2.2641,1.2546,1.0347,0.7253
18,0.332037,0.330135,0.190206,1.746390,82.9262,1.7472,2.2785,1.2715,1.0403,0.7276
19,0.328798,0.326837,0.196194,1.738828,82.1776,1.8426,2.2433,1.3025,1.0580,0.7252
20,0.325170,0.323038,0.213272,1.730157,81.0157,1.9598,2.2546,1.3264,1.0641,0.7319
21,0.321196,0.318827,0.236835,1.719872,79.7904,2.0857,2.2701,1.3572,1.0772,0.7311
22,0.316548,0.314124,0.242444,1.709151,77.9006,2.2191,2.2809,1.3811,1.0775,0.7265
23,0.311452,0.308957,0.249487,1.697290,75.7718,2.3622,2.2991,1.3940,1.0859,0.7191
24,0.305967,0.303439,0.252847,1.685315,73.4757,2.5136,2.3160,1.3896,1.0951,0.7118
25,0.300084,0.297707,0.237661,1.672703,71.2174,2.6669,2.3511,1.3542,1.0955,0.7099
26,0.294834,0.292246,0.258797,1.659667,68.9005,2.8210,2.3838,1.3342,1.0595,0.7044
27,0.289721,0.287430,0.229170,1.648894,66.8832,2.9549,2.3934,1.3350,1.0319,0.6961
28,0.285259,0.282992,0.226622,1.638033,64.7046,3.0837,2.4144,1.3156,1.0078,0.7026
29,0.281294,0.279275,0.201919,1.627912,63.1803,3.1964,2.4493,1.2907,1.0048,0.6894
30,0.277871,0.275970,0.190043,1.618337,62.0670,3.3031,2.4871,1.2628,1.0106,0.6788
31,0.274815,0.273192,0.162247,1.609193,61.1834,3.3958,2.5237,1.2229,1.0169,0.6773
32,0.271938,0.270483,0.145518,1.600154,60.7529,3.4696,2.5578,1.2026,1.0295,0.6709
33,0.269134,0.267898,0.123594,1.591580,60.3259,3.5405,2.5937,1.1932,1.0412,0.6669
34,0.266476,0.265243,0.123292,1.582662,60.2375,3.6072,2.6355,1.1874,1.0003,0.6601
35,0.263775,0.262790,0.098543,1.574651,60.1986,3.6576,2.6553,1.1767,0.9925,0.6524
36,0.261246,0.260330,0.091620,1.565879,59.8627,3.7080,2.6812,1.1544,0.9934,0.6526
37,0.258484,0.257776,0.070766,1.556475,59.8658,3.7630,2.7264,1.1400,0.9559,0.6546
38,0.255859,0.255164,0.069470,1.546958,59.8766,3.8110,2.7598,1.1346,0.9505,0.6512
39,0.253195,0.252683,0.051171,1.537907,59.8000,3.8673,2.7869,1.1319,0.9542,0.6528
40,0.250641,0.250264,0.037659,1.528807,59.5479,3.9233,2.8186,1.1174,0.9426,0.6551
41,0.248054,0.247782,0.027226,1.519853,59.7097,3.9785,2.8531,1.1036,0.9402,0.6552
42,0.245550,0.245406,0.014390,1.510410,59.4891,4.0356,2.8872,1.0790,0.9466,0.6559
43,0.243112,0.242983,0.012909,1.500463,59.7242,4.0922,2.9274,1.0365,0.9243,0.6566
44,0.240815,0.240781,0.003442,1.491745,59.7181,4.1331,2.9468,1.0244,0.8967,0.6541
45,0.238594,0.238594,0.000000,1.481900,59.5203,4.1777,2.9741,1.0279,0.8924,0.6565
46,0.236386,0.236348,0.003816,1.472016,59.4304,4.2235,3.0072,1.0290,0.8796,0.6600
47,0.234332,0.234332,0.000000,1.463087,59.3919,4.2730,3.0400,1.0319,0.8768,0.6576
48,0.232326,0.232251,0.007508,1.454306,59.4403,4.3241,3.0786,1.0408,0.8830,0.6574
49,0.230359,0.230334,0.002457,1.446225,59.3438,4.3745,3.1047,1.0518,0.8923,0.6581
50,0.228530,0.228516,0.001412,1.438246,59.2425,4.4213,3.1342,1.0358,0.9035,0.6599
51,0.226703,0.226670,0.003322,1.430664,59.4224,4.4685,3.1664,1.0311,0.9155,0.6626
52,0.225032,0.224965,0.006684,1.423283,59.3800,4.5145,3.1975,1.0304,0.8798,0.6617
53,0.223405,0.223294,0.011128,1.415849,59.5328,4.5496,3.2266,1.0336,0.8718,0.6573
54,0.221756,0.221685,0.007113,1.408165,59.3693,4.5888,3.2450,1.0291,0.8779,0.6566
55,0.220174,0.220174,0.000000,1.400932,59.3877,4.6330,3.2721,1.0148,0.8878,0.6590
56,0.218621,0.218535,0.008655,1.393024,59.5907,4.6768,3.3063,1.0189,0.8996,0.6624
57,0.217064,0.217022,0.004228,1.385637,59.5084,4.7157,3.3239,1.0290,0.9125,0.6599
58,0.215653,0.215581,0.007149,1.378296,59.3499,4.7613,3.3541,1.0180,0.9252,0.6610
