epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta_start,mean_beta_end,mean_t_switch
61,0.161037,0.160646,0.039104,1.031688,53.1784,7.9945,4.7561,0.8649,0.4377,0.6841
62,0.160137,0.159920,0.021661,1.023259,54.0604,8.0934,4.8011,0.8929,0.4289,0.6926
63,0.159257,0.158977,0.028018,1.013441,53.3761,8.1320,4.8181,0.9065,0.4458,0.6832
64,0.158447,0.158157,0.028956,1.005093,53.7182,8.2009,4.8511,0.9185,0.4685,0.6765
65,0.158041,0.157572,0.046941,0.996952,53.6084,8.2390,4.8282,0.9196,0.4178,0.6823
66,0.157543,0.157346,0.019660,0.991907,53.4117,8.3123,4.8731,0.8883,0.4090,0.6774
67,0.156856,0.156553,0.030319,0.982729,53.6450,8.3434,4.8333,0.8987,0.4249,0.6757
68,0.156150,0.155941,0.020873,0.976841,53.5614,8.4198,4.8885,0.9366,0.4375,0.6714
69,0.155694,0.155225,0.046837,0.968689,52.9949,8.4617,4.8718,0.8906,0.4157,0.6712
70,0.155287,0.154998,0.028862,0.965058,53.7353,8.5427,4.9009,0.9018,0.4232,0.6738
71,0.154739,0.154273,0.046602,0.955650,52.8267,8.5712,4.9073,0.9043,0.4110,0.6735
72,0.154317,0.153911,0.040662,0.952272,53.5241,8.6579,4.9353,0.8855,0.4082,0.6711
73,0.154122,0.153556,0.056547,0.946158,52.8083,8.6817,4.9371,0.8496,0.4223,0.6759
74,0.153805,0.153348,0.045720,0.942329,53.5260,8.7679,4.9502,0.8856,0.4326,0.6733
75,0.153478,0.152837,0.064095,0.935683,52.4938,8.7996,4.9948,0.8693,0.3888,0.6778
76,0.153179,0.152524,0.065552,0.933690,53.8204,8.8692,4.9861,0.9182,0.3851,0.6768
77,0.152885,0.152145,0.074040,0.929517,52.3961,8.8818,4.9818,0.9049,0.3881,0.6673
78,0.152714,0.151955,0.075854,0.928501,53.2875,8.9840,5.0210,0.8878,0.3964,0.6614
79,0.152390,0.151574,0.081509,0.923160,52.9850,8.9972,4.9621,0.8906,0.4263,0.6666
80,0.152201,0.151464,0.073665,0.922491,52.6340,9.0893,4.9920,0.9031,0.4500,0.6566
81,0.151916,0.150917,0.099895,0.917035,52.4099,9.1278,5.0195,0.8793,0.4265,0.6596
82,0.151706,0.150752,0.095361,0.916695,52.7864,9.1890,5.0253,0.9027,0.4180,0.6545
83,0.151334,0.150400,0.093392,0.912476,52.2602,9.2159,5.0348,0.8731,0.4174,0.6504
84,0.151037,0.150120,0.091749,0.910779,52.7252,9.3152,5.0701,0.8992,0.4229,0.6507
85,0.150835,0.149896,0.093852,0.908002,52.7431,9.3309,5.0756,0.8901,0.4559,0.6478
86,0.150754,0.149675,0.107816,0.906549,52.8218,9.4278,5.1000,0.8936,0.4031,0.6499
87,0.150788,0.149727,0.106033,0.906070,52.5854,9.4303,5.0394,0.9106,0.4340,0.6428
88,0.150844,0.149704,0.113970,0.904639,52.4382,9.5620,5.0894,0.9039,0.4222,0.6597
89,0.150427,0.149209,0.121834,0.900742,52.3994,9.5832,5.0760,0.8884,0.4103,0.6430
90,0.150055,0.148925,0.112944,0.899057,52.8360,9.6549,5.0823,0.9223,0.4304,0.6577
91,0.149895,0.148607,0.128764,0.897093,52.0889,9.6963,5.1174,0.8944,0.4283,0.6474
92,0.149900,0.148623,0.127755,0.895729,53.0019,9.7603,5.1210,0.9137,0.4290,0.6553
93,0.149874,0.148583,0.129100,0.894287,52.1933,9.8169,5.1358,0.8778,0.4472,0.6451
94,0.149760,0.148460,0.130018,0.893801,52.5347,9.8789,5.1432,0.8811,0.4711,0.6483
95,0.149458,0.148074,0.138356,0.890957,52.3453,9.9249,5.1566,0.9048,0.4433,0.6393
96,0.149236,0.147914,0.132209,0.891537,52.3150,9.9944,5.1708,0.9509,0.4447,0.6446
97,0.148814,0.147406,0.140794,0.887948,52.0577,10.0323,5.1881,0.9068,0.4639,0.6390
98,0.148870,0.147390,0.148010,0.888302,52.5883,10.1028,5.1755,0.9317,0.4393,0.6464
99,0.148840,0.147393,0.144682,0.888706,51.9625,10.1394,5.1734,0.9128,0.4489,0.6356
100,0.148639,0.147182,0.145693,0.886782,52.2276,10.2150,5.1878,0.9321,0.4202,0.6457
101,0.148576,0.147089,0.148691,0.886481,51.9411,10.2654,5.2043,0.9236,0.4073,0.6346
102,0.148498,0.146987,0.151084,0.886222,52.2701,10.3394,5.1951,0.9204,0.4260,0.6397
103,0.148380,0.146825,0.155479,0.884883,52.0803,10.3927,5.2102,0.8949,0.4300,0.6267
104,0.148230,0.146713,0.151688,0.885111,52.3183,10.4619,5.2072,0.9071,0.4554,0.6201
105,0.147848,0.146312,0.153559,0.880365,51.8090,10.4929,5.2132,0.9264,0.4945,0.6177
106,0.147804,0.146131,0.167243,0.880898,51.7436,10.5872,5.2312,0.9424,0.4655,0.6153
107,0.147743,0.146032,0.171175,0.879964,52.2900,10.6186,5.2451,0.9038,0.4647,0.6108
108,0.147678,0.146064,0.161491,0.880187,51.8160,10.6939,5.2712,0.8818,0.4435,0.6158
109,0.147357,0.145751,0.160596,0.876254,52.1269,10.7062,5.2908,0.8837,0.4634,0.6071
110,0.147256,0.145626,0.163048,0.877958,51.7847,10.7864,5.2474,0.9042,0.4607,0.6160
111,0.147312,0.145659,0.165279,0.877936,51.5260,10.8443,5.2766,0.8584,0.4862,0.6065
112,0.147404,0.145649,0.175492,0.878363,51.9806,10.9227,5.2823,0.8854,0.4715,0.6124
113,0.147185,0.145447,0.173780,0.874886,51.7342,10.9128,5.2968,0.8828,0.4672,0.6040
114,0.147051,0.145317,0.173384,0.877375,51.6735,10.9921,5.2977,0.8957,0.4448,0.6088
115,0.147106,0.145284,0.182179,0.876134,51.7158,11.0336,5.2712,0.9013,0.4386,0.6020
116,0.147189,0.145451,0.173812,0.878762,51.6439,11.1205,5.2851,0.9028,0.4390,0.6065
117,0.146895,0.145119,0.177530,0.873997,51.5131,11.1586,5.3044,0.9101,0.4621,0.5950
118,0.146733,0.144949,0.178331,0.876948,51.5661,11.2044,5.3092,0.9501,0.4475,0.6079
119,0.146696,0.144911,0.178508,0.875833,51.5431,11.2678,5.3383,0.9105,0.4633,0.5952
120,0.146677,0.144967,0.170929,0.874626,51.7685,11.3113,5.3408,0.9394,0.4630,0.6058
121,0.146400,0.144604,0.179623,0.874363,51.2787,11.3699,5.3567,0.9085,0.4494,0.6000
122,0.146414,0.144665,0.174856,0.873222,51.6055,11.4320,5.3509,0.9490,0.4466,0.6072
123,0.146336,0.144521,0.181510,0.874954,51.5102,11.4767,5.3789,0.9638,0.4656,0.6000
124,0.146296,0.144541,0.175436,0.875229,51.2398,11.5095,5.3653,0.9923,0.4766,0.6107
125,0.146085,0.144291,0.179382,0.873139,51.5512,11.6010,5.4221,0.9746,0.4569,0.6004
126,0.146232,0.144354,0.187817,0.873369,51.5308,11.6095,5.3478,0.9492,0.4720,0.6092
127,0.146022,0.144175,0.184750,0.873077,51.1293,11.7084,5.4065,0.9056,0.4595,0.5992
128,0.145973,0.144279,0.169416,0.873690,51.5431,11.7331,5.3856,0.9431,0.4626,0.6064
129,0.145791,0.144112,0.167929,0.871613,51.2201,11.8035,5.4140,0.9270,0.4591,0.5995
130,0.145761,0.144060,0.170097,0.871643,51.0600,11.8788,5.4239,0.9603,0.4454,0.6051
131,0.145630,0.143884,0.174601,0.872141,51.3574,11.9305,5.4504,0.9423,0.4492,0.5995
132,0.145630,0.143909,0.172152,0.870797,51.1781,11.9579,5.4548,0.9581,0.4285,0.6047
133,0.145560,0.143935,0.162521,0.872500,51.2150,11.9985,5.4951,0.9222,0.4361,0.6027
134,0.145736,0.144055,0.168077,0.872283,51.7214,12.0253,5.4559,0.9255,0.4475,0.6123
135,0.145614,0.143958,0.165620,0.870467,50.7302,12.0912,5.4697,0.9135,0.4603,0.6038
136,0.145503,0.143818,0.168513,0.872315,51.3917,12.1397,5.4766,0.9345,0.4579,0.6123
137,0.145291,0.143576,0.171575,0.869557,50.9577,12.1436,5.4993,0.9415,0.4479,0.6069
138,0.145186,0.143576,0.161044,0.870090,51.3805,12.2237,5.5169,0.9598,0.4466,0.6091
139,0.145142,0.143451,0.169085,0.869337,50.8674,12.2579,5.5187,0.9371,0.4623,0.6059
140,0.145082,0.143479,0.160338,0.869520,51.3854,12.2992,5.5382,0.9599,0.4605,0.6089
141,0.144871,0.143363,0.150850,0.869217,51.1659,12.3137,5.5603,0.9591,0.4826,0.6032
142,0.144954,0.143289,0.166449,0.868346,50.9901,12.3485,5.5447,0.9685,0.4622,0.6084
143,0.144986,0.143401,0.158504,0.870409,51.6275,12.3654,5.5801,0.9044,0.4488,0.6041
144,0.145013,0.143555,0.145819,0.869528,50.8886,12.3957,5.5658,0.9382,0.4609,0.6035
145,0.144781,0.143266,0.151491,0.870181,50.9522,12.4757,5.6172,0.9619,0.4513,0.6025
146,0.144646,0.143067,0.157919,0.867232,50.8658,12.4672,5.5501,0.9868,0.4760,0.6006
147,0.144805,0.143143,0.166227,0.868331,50.4659,12.5013,5.6200,0.9431,0.4771,0.6005
148,0.144766,0.143248,0.151887,0.868940,50.6816,12.5183,5.6015,0.9413,0.4827,0.6030
149,0.144565,0.143184,0.138119,0.867646,50.8326,12.5659,5.6485,0.9400,0.4672,0.6022
150,0.144521,0.143110,0.141152,0.868223,50.6956,12.5828,5.6459,0.9461,0.4765,0.6026
151,0.144569,0.143133,0.143571,0.867144,50.7438,12.6331,5.6898,0.9527,0.4676,0.6115
152,0.144581,0.142914,0.166683,0.868364,50.8720,12.6166,5.6628,0.9402,0.4765,0.6044
153,0.144602,0.143039,0.156301,0.867109,51.1658,12.6795,5.7018,0.8820,0.4354,0.6067
154,0.144655,0.143220,0.143534,0.866737,50.9847,12.7074,5.6704,0.8981,0.4370,0.6029
155,0.144555,0.143183,0.137118,0.868939,50.9131,12.7919,5.7269,0.9094,0.4240,0.5996
156,0.144243,0.142828,0.141512,0.866277,51.1146,12.7923,5.7209,0.9573,0.4162,0.6049
157,0.144367,0.142888,0.147888,0.867883,50.8989,12.7735,5.7332,0.9242,0.4365,0.6002
158,0.144392,0.142897,0.149508,0.865418,50.7474,12.7880,5.6938,0.9324,0.4460,0.6012
159,0.144441,0.142843,0.159804,0.866226,50.0471,12.7823,5.6987,0.9396,0.4775,0.6006
