epoch,train_loss,train_mae,train_mape,val_loss,val_mae,val_mape,mean_alpha,mean_K,mean_beta
1,0.526722,1.966592,107.6749,0.488814,1.862134,98.9293,0.7063,2.9467,0.0211
2,0.506402,1.964321,135.4136,0.448437,1.889035,120.7863,2.1919,6.7909,0.0152
3,0.468022,1.921720,124.5445,0.369556,1.781046,107.6128,1.8523,6.4739,0.0137
4,0.391042,1.814845,121.8293,0.287452,1.641605,97.8307,1.8151,6.0945,0.0203
5,0.333459,1.730544,114.1996,0.237019,1.502379,90.2763,2.4342,5.1564,0.5613
6,0.286272,1.631162,110.9567,0.215477,1.433567,96.0660,3.0083,7.0388,0.0392
7,0.263150,1.574242,110.7114,0.201974,1.354590,93.1711,3.5352,6.5606,0.4752
8,0.254462,1.544451,112.2048,0.198192,1.339382,88.1891,3.0169,5.8035,0.5053
9,0.244816,1.506726,109.3715,0.199284,1.341717,88.8967,3.0647,5.7112,0.4153
10,0.238152,1.476061,108.2019,0.199569,1.326037,87.0947,3.2413,5.7301,0.6767
11,0.237254,1.471932,109.1795,0.194077,1.276548,87.8048,3.6424,5.9084,0.6856
12,0.233768,1.443429,110.7458,0.198918,1.304317,87.8897,3.4176,5.8715,0.5608
13,0.231095,1.426372,108.9464,0.199907,1.296877,87.0135,3.4277,5.7831,0.6138
14,0.229258,1.413679,108.9374,0.197816,1.279813,87.8968,3.6039,5.9634,0.5355
15,0.228777,1.406059,110.1460,0.195437,1.264205,89.7148,3.8680,6.3130,0.4324
16,0.229534,1.402148,111.2444,0.194955,1.253315,91.6285,4.1587,6.6473,0.3837
17,0.230023,1.398595,111.3963,0.194359,1.240058,94.3354,4.5396,7.0740,0.3500
18,0.231864,1.398309,112.8935,0.194286,1.226691,96.2533,4.8117,7.4236,0.3553
19,0.236319,1.398869,113.5373,0.197142,1.226547,102.7089,5.1187,8.1283,0.1030
20,0.239607,1.405198,113.4661,0.197022,1.198201,105.8082,5.5557,8.3441,0.1255
21,0.241060,1.406441,116.3589,0.197278,1.208745,105.1667,5.4776,8.1605,0.1751
22,0.241234,1.402163,114.6526,0.197362,1.201358,106.1605,5.4997,8.2533,0.0944
23,0.238751,1.400186,115.7798,0.195535,1.192488,103.8599,5.5113,8.1510,0.2826
24,0.236675,1.389549,115.2429,0.196018,1.208062,102.7582,5.3124,7.9695,0.2635
25,0.236312,1.390087,113.5408,0.194493,1.186136,103.2483,5.4136,8.1654,0.2523
26,0.234480,1.382214,114.7529,0.196075,1.201911,103.0678,5.3786,8.1190,0.2762
27,0.235287,1.385625,113.7796,0.194934,1.185808,103.5574,5.4379,8.2818,0.2445
28,0.233714,1.379825,114.8234,0.196005,1.196450,103.0307,5.4243,8.2155,0.2954
29,0.234293,1.381137,113.8721,0.195055,1.186001,103.1123,5.4346,8.3274,0.2774
30,0.235134,1.382115,113.7993,0.196218,1.182180,104.8541,5.5924,8.4129,0.2439
31,0.235399,1.382422,114.9134,0.196727,1.183772,105.1807,5.5936,8.5692,0.2527
32,0.235403,1.382128,114.9701,0.196751,1.183842,105.1173,5.5938,8.5678,0.2595
33,0.231387,1.368641,116.0879,0.198630,1.244949,100.2704,5.0766,7.9394,0.3957
34,0.228367,1.371978,114.9203,0.199240,1.244796,98.9867,5.0170,7.8850,0.5237
35,0.227555,1.367076,114.0054,0.199220,1.244688,99.1130,5.0013,7.9048,0.5222
36,0.227139,1.364129,113.2994,0.199227,1.245046,99.1563,5.0009,7.9284,0.5290
