epoch,train_loss,train_mae,train_mape,val_loss,val_mae,val_mape,mean_alpha,mean_K,mean_beta
1,0.446519,1.669524,116.6006,0.738895,2.947730,83.7257,0.8180,4.4746,0.0151
2,0.427297,1.668456,129.7960,0.658011,2.880380,83.6381,1.1712,6.9319,0.0100
3,0.376283,1.618979,126.8498,0.499762,2.687665,75.2044,1.3128,7.7585,0.0162
4,0.301012,1.504695,120.0561,0.363328,2.411162,69.7315,2.0860,7.1117,0.1203
5,0.265948,1.432194,116.5412,0.312249,2.274577,65.2834,2.2397,7.0900,0.5637
6,0.249613,1.392571,113.5684,0.295369,2.099688,74.5576,3.7992,9.3264,0.0184
7,0.243605,1.359207,121.0138,0.285901,2.049193,75.9745,4.2540,8.9805,0.0884
8,0.240054,1.333078,121.4910,0.269120,2.003051,73.7508,3.9342,8.7271,0.0464
9,0.232121,1.296509,117.6158,0.262078,1.959331,71.1665,4.2224,8.4688,0.3841
10,0.229122,1.297320,120.1344,0.257803,1.938227,70.4540,4.1891,8.1459,0.3915
11,0.230111,1.276870,121.8146,0.255102,1.946781,71.2617,3.8632,8.0488,0.1875
12,0.223691,1.251199,117.5711,0.253450,1.948105,70.3382,3.8025,7.8154,0.3135
13,0.219458,1.255141,116.7901,0.255344,1.894419,72.2256,4.4058,8.5830,0.4141
14,0.223574,1.245453,119.6772,0.253559,1.909916,72.2419,4.1669,8.2312,0.3119
15,0.219247,1.236701,117.6745,0.252562,1.901887,71.7116,4.1228,8.1687,0.3429
16,0.218649,1.236066,117.0465,0.253132,1.893475,72.6628,4.2587,8.3525,0.3452
17,0.218119,1.230904,117.2761,0.252951,1.889492,72.3102,4.2402,8.3223,0.3846
18,0.217567,1.229750,116.9964,0.253722,1.887664,73.0716,4.2655,8.3979,0.3426
19,0.217782,1.229143,117.2683,0.255286,1.890619,74.3341,4.3058,8.4710,0.2807
20,0.218121,1.228712,117.4460,0.257093,1.897581,75.2711,4.3625,8.5413,0.2707
21,0.217632,1.226330,117.0340,0.258705,1.916769,75.2191,4.2699,8.4030,0.2669
22,0.219266,1.231367,116.7894,0.259557,1.909587,76.2720,4.3905,8.5588,0.2459
23,0.218837,1.229154,116.7094,0.258683,1.888279,76.8851,4.4941,8.8624,0.2167
24,0.219352,1.232006,117.1371,0.259105,1.872385,78.3132,4.8223,9.0768,0.2405
25,0.219609,1.226243,117.4736,0.260050,1.887586,77.7532,4.7422,8.6520,0.2096
26,0.220135,1.223074,116.3853,0.261301,1.913843,75.8161,4.3692,8.5081,0.2345
27,0.222115,1.231820,116.9736,0.263569,1.923139,74.3128,4.0155,8.1055,0.1801
28,0.221112,1.228903,117.3684,0.265689,1.929065,72.9391,3.8224,8.1547,0.2748
29,0.219986,1.229445,117.4581,0.269120,1.947602,73.9532,3.7953,8.3517,0.2739
30,0.218460,1.231783,116.7545,0.257514,1.877926,74.1752,4.1277,8.5092,0.2869
31,0.219888,1.238309,117.5558,0.259865,1.842734,80.6769,4.8620,9.6945,0.1963
32,0.220858,1.226470,117.0312,0.256443,1.849766,78.0104,4.8281,8.9080,0.1913
33,0.222705,1.235878,117.0814,0.257757,1.888403,75.1241,4.3558,8.4194,0.2421
34,0.223050,1.234455,117.5948,0.257077,1.870376,73.7178,4.1812,8.2122,0.1844
35,0.222456,1.232824,117.2733,0.264867,1.916391,72.5143,3.8553,7.9743,0.2681
36,0.223433,1.226722,117.4215,0.279321,1.994399,72.4853,3.3108,7.7289,0.2343
37,0.217119,1.246740,116.4970,0.266793,1.927229,67.7262,3.1428,7.5984,0.5016
38,0.212068,1.220424,115.6863,0.262116,1.893569,69.1033,3.4132,7.9882,0.4649
39,0.211140,1.211301,115.6267,0.259115,1.868830,69.6586,3.5748,8.1980,0.4530
40,0.211116,1.205637,116.3616,0.258830,1.869086,69.6087,3.5550,8.1934,0.4416
41,0.210959,1.204296,116.4910,0.259035,1.873386,69.5436,3.5190,8.1968,0.4374
42,0.210818,1.205775,116.3898,0.258697,1.875962,69.1022,3.4925,8.0602,0.4669
43,0.209707,1.201793,115.9874,0.258735,1.874205,69.9967,3.6245,8.2716,0.4677
44,0.210172,1.204340,116.1078,0.258207,1.868556,70.5617,3.6937,8.4078,0.4495
45,0.211162,1.205136,116.5426,0.257694,1.867710,69.5012,3.5490,8.2648,0.4579
46,0.210412,1.202486,116.4056,0.258507,1.876349,69.6224,3.5216,8.1575,0.4391
47,0.210203,1.203861,116.3742,0.257841,1.872210,69.3353,3.5138,8.1813,0.4641
48,0.209117,1.199821,115.9986,0.257651,1.867092,70.2269,3.6506,8.4189,0.4657
49,0.209652,1.200773,116.1022,0.257356,1.863786,70.5573,3.7011,8.3885,0.4490
50,0.210430,1.201270,116.4824,0.256720,1.860511,69.6322,3.5736,8.2626,0.4531
51,0.209598,1.197821,116.3036,0.256756,1.860382,69.3611,3.5364,8.2870,0.4694
52,0.208665,1.195141,115.9440,0.256960,1.859372,70.1270,3.6574,8.3634,0.4698
53,0.208991,1.195503,116.0276,0.256452,1.850998,70.6511,3.7235,8.4815,0.4488
54,0.209781,1.196245,116.3731,0.255435,1.843866,69.7634,3.6091,8.3940,0.4494
55,0.208511,1.190444,116.5952,0.256639,1.852505,70.1320,3.6344,8.3596,0.4482
56,0.208498,1.190966,116.0727,0.255811,1.843186,70.0563,3.6751,8.4423,0.4784
57,0.208352,1.188909,115.9149,0.255473,1.834274,70.7028,3.7467,8.5924,0.4490
58,0.205845,1.185847,117.2991,0.254267,1.844217,66.2472,3.2612,7.8927,0.6509
59,0.203422,1.181268,115.1518,0.252669,1.830230,67.1647,3.3470,7.9827,0.5625
60,0.203380,1.179666,115.2846,0.251949,1.826853,66.8828,3.3351,7.9385,0.5798
61,0.203207,1.177924,115.2104,0.251317,1.820949,67.2038,3.3946,8.0012,0.5681
