epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta
75,0.343534,0.238040,2.109889,1.597794,103.8288,2.5986,8.8123,0.2494
76,0.342736,0.236111,2.132492,1.593447,103.4053,2.6788,8.9712,0.2435
77,0.343619,0.237951,2.113363,1.595635,103.7329,2.6512,8.7958,0.2273
78,0.343363,0.236647,2.134326,1.593275,103.7372,2.5943,8.8829,0.2446
79,0.343197,0.239209,2.079750,1.599025,103.5635,2.6457,8.9409,0.2466
80,0.343106,0.235999,2.142142,1.591618,103.9809,2.5775,8.7352,0.2437
81,0.342974,0.238671,2.086066,1.597187,103.5384,2.6290,8.9065,0.2395
82,0.342884,0.236856,2.120555,1.593669,104.0596,2.5884,8.9046,0.2420
83,0.342104,0.235870,2.124696,1.591272,103.2552,2.5382,8.7697,0.2668
84,0.341759,0.237022,2.094753,1.594962,103.4592,2.5800,9.0125,0.2784
85,0.341737,0.234163,2.151474,1.585898,103.3081,2.6772,8.9817,0.2365
86,0.342873,0.236567,2.126133,1.590647,103.6425,2.6098,8.7771,0.2611
87,0.342459,0.235418,2.140818,1.589016,103.7225,2.5841,8.9017,0.2402
88,0.342494,0.238415,2.081575,1.595919,103.5906,2.6375,8.9561,0.2430
89,0.342311,0.235048,2.145279,1.587861,104.0161,2.5430,8.7929,0.2537
90,0.341576,0.236564,2.100234,1.592597,103.0796,2.5565,8.9112,0.2650
91,0.341378,0.235941,2.108743,1.591214,103.5074,2.5484,8.9196,0.2876
92,0.341388,0.234811,2.131541,1.587300,103.0129,2.5556,8.7501,0.2703
93,0.341121,0.234674,2.128943,1.587057,103.3287,2.5490,8.8269,0.2866
94,0.341058,0.233758,2.145984,1.584140,103.1684,2.6188,8.8090,0.2428
95,0.342079,0.237456,2.092465,1.592632,103.5195,2.6366,8.9247,0.2502
96,0.341489,0.234367,2.142448,1.584576,103.5597,2.6096,8.9544,0.2512
97,0.341056,0.233965,2.141808,1.583934,103.1046,2.5917,8.9720,0.2696
98,0.340856,0.233277,2.151598,1.582192,103.5113,2.5581,8.7584,0.2591
99,0.340899,0.233437,2.149235,1.582294,103.0295,2.6150,8.7522,0.2539
100,0.341815,0.236738,2.101551,1.589772,103.3863,2.6711,9.1117,0.2519
101,0.342279,0.236105,2.123483,1.584852,103.1042,2.6249,9.1403,0.2407
102,0.341957,0.235956,2.120019,1.584357,103.2778,2.5873,8.9303,0.2639
103,0.341002,0.233309,2.153861,1.580405,103.6141,2.5848,8.9954,0.2550
104,0.340556,0.232645,2.158238,1.578723,102.9931,2.5523,8.7715,0.2820
105,0.340281,0.232655,2.152534,1.578999,103.1654,2.5221,8.9030,0.3001
106,0.340179,0.233540,2.132797,1.581360,102.8452,2.5845,8.9797,0.2677
107,0.340331,0.232165,2.163326,1.576851,103.0167,2.5190,8.8284,0.3112
108,0.340028,0.233491,2.130742,1.581423,102.9480,2.5930,8.9371,0.2602
109,0.340201,0.232042,2.163188,1.576238,103.0862,2.5536,9.0008,0.2979
110,0.339925,0.232120,2.156101,1.576574,103.0273,2.5719,8.7902,0.2614
111,0.340134,0.231678,2.169115,1.575278,103.2435,2.6281,9.0149,0.2696
112,0.340656,0.234136,2.130414,1.580388,103.2306,2.5775,9.0445,0.2477
113,0.339948,0.232524,2.148491,1.576897,103.3761,2.6802,9.2045,0.2528
114,0.341228,0.233638,2.151807,1.576487,103.2381,2.6223,9.0097,0.2481
115,0.340378,0.231588,2.175798,1.573418,103.3441,2.5926,9.0534,0.2634
116,0.340284,0.233553,2.134624,1.577740,103.2261,2.6234,8.9359,0.2692
117,0.341063,0.234811,2.125045,1.579808,102.8943,2.6267,9.0146,0.2502
118,0.340783,0.233747,2.140724,1.576420,103.2256,2.5962,9.0655,0.2705
119,0.339906,0.231121,2.175710,1.571482,103.4969,2.5653,8.8574,0.2562
120,0.340354,0.234088,2.125320,1.578067,102.8751,2.5533,9.1612,0.2892
