epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta
325,0.335268,0.225268,2.199997,1.530481,102.0206,2.5863,9.4899,0.3073
326,0.334750,0.225645,2.182093,1.533569,102.0100,2.6130,9.3032,0.2857
327,0.335141,0.225911,2.184588,1.533643,102.1710,2.5631,9.3470,0.3286
328,0.334544,0.225684,2.177212,1.534537,102.2248,2.6336,9.6101,0.3207
329,0.334746,0.223417,2.226564,1.523958,102.2286,2.5939,9.4030,0.3255
330,0.334915,0.225531,2.187681,1.531774,102.3407,2.5778,9.4729,0.3240
331,0.334440,0.225453,2.179741,1.532808,102.1831,2.5303,9.5036,0.3358
332,0.334477,0.226084,2.167850,1.535005,102.2328,2.5838,9.3394,0.3036
333,0.334444,0.224890,2.191082,1.532181,102.3713,2.5313,9.3614,0.3301
334,0.334576,0.226260,2.166324,1.535972,102.2799,2.6766,9.7010,0.3044
335,0.334596,0.221929,2.253351,1.520871,102.1704,2.4818,9.2125,0.2954
336,0.333434,0.222109,2.226508,1.522259,101.5815,2.4075,9.2483,0.3356
337,0.332999,0.223535,2.189285,1.527671,101.4461,2.4451,9.2749,0.3229
338,0.333283,0.224234,2.180975,1.529365,101.5347,2.4158,9.2711,0.3330
339,0.332925,0.223362,2.191245,1.528151,101.5383,2.4533,9.3433,0.3430
340,0.332847,0.222991,2.197112,1.527582,101.7649,2.4967,9.4327,0.3502
341,0.333317,0.223378,2.198781,1.528245,102.0522,2.5037,9.4116,0.3270
342,0.333348,0.222280,2.221377,1.523142,101.7988,2.4344,9.2820,0.3422
343,0.332880,0.223011,2.197390,1.527514,101.7511,2.4706,9.3604,0.3304
344,0.333165,0.223949,2.184300,1.529334,101.7832,2.4424,9.3683,0.3419
345,0.332855,0.223333,2.190429,1.528356,101.7117,2.4996,9.4557,0.3253
346,0.333232,0.223484,2.194967,1.528475,102.0470,2.4519,9.4320,0.3010
347,0.332906,0.223423,2.189655,1.528950,101.8561,2.4695,9.3645,0.3395
348,0.333200,0.224066,2.182679,1.530059,101.7712,2.4802,9.4559,0.3086
349,0.332750,0.220663,2.241746,1.519893,101.8214,2.5265,9.4332,0.3257
350,0.333266,0.222885,2.207628,1.526341,102.0917,2.4563,9.3901,0.3036
351,0.333080,0.223774,2.186128,1.529079,101.8119,2.5390,9.4440,0.3345
352,0.333416,0.221575,2.236812,1.520948,101.9199,2.4424,9.2693,0.3115
353,0.332956,0.223265,2.193814,1.527805,101.6497,2.4837,9.3858,0.3428
354,0.333219,0.223493,2.194527,1.528258,101.8114,2.4412,9.3349,0.3142
355,0.332918,0.223599,2.186365,1.528812,101.6324,2.4911,9.4277,0.3457
356,0.333202,0.223373,2.196581,1.528025,101.7919,2.4499,9.4075,0.3158
357,0.332831,0.223222,2.192180,1.528330,101.6679,2.4774,9.3455,0.3324
358,0.332957,0.223123,2.196669,1.528230,101.9212,2.5011,9.3716,0.3039
359,0.332974,0.222933,2.200825,1.527734,102.0624,2.5125,9.5059,0.3104
360,0.332982,0.221347,2.232697,1.521510,101.6664,2.5227,9.3085,0.3433
361,0.333273,0.222867,2.208104,1.526994,101.9383,2.4589,9.3050,0.3159
362,0.332883,0.223184,2.193985,1.528297,101.6996,2.5009,9.3877,0.3520
363,0.333228,0.223198,2.200608,1.527694,101.7975,2.4515,9.3470,0.3220
364,0.332931,0.223456,2.189504,1.528588,101.6722,2.4964,9.4129,0.3132
365,0.332946,0.222742,2.204069,1.526879,101.7484,2.5120,9.3486,0.3304
366,0.333290,0.223549,2.194838,1.528853,101.9734,2.4943,9.4301,0.3247
367,0.333061,0.221613,2.228960,1.521363,101.4387,2.4930,9.3597,0.3415
368,0.332859,0.222250,2.212181,1.524838,101.8524,2.4638,9.3634,0.3224
369,0.332638,0.222632,2.200109,1.527103,101.7185,2.4848,9.2822,0.3189
370,0.333048,0.223612,2.188715,1.529344,101.5035,2.5018,9.3498,0.3410
371,0.333194,0.223386,2.196155,1.528295,101.8201,2.4933,9.4376,0.3320
372,0.332897,0.220998,2.237977,1.520246,101.6147,2.4844,9.3676,0.3517
373,0.332795,0.222261,2.210687,1.525049,101.8546,2.5135,9.4246,0.3192
374,0.333121,0.222672,2.208994,1.526220,101.8880,2.5161,9.3939,0.3297
375,0.333027,0.221565,2.229248,1.521451,101.6861,2.4671,9.2803,0.3385
376,0.332764,0.222486,2.205550,1.526024,101.6653,2.4956,9.2290,0.3325
377,0.333280,0.223757,2.190446,1.529680,101.9603,2.4643,9.3758,0.3709
378,0.332743,0.222471,2.205431,1.526208,101.9245,2.4738,9.4422,0.3717
379,0.332914,0.223469,2.188889,1.528769,101.8584,2.5018,9.3625,0.3277
380,0.333127,0.223237,2.197801,1.527953,101.9418,2.4622,9.3690,0.3447
381,0.332836,0.223091,2.194893,1.527932,101.7649,2.5118,9.4292,0.3319
382,0.333141,0.223382,2.195187,1.527990,101.9150,2.4664,9.4283,0.3480
383,0.333053,0.223435,2.192359,1.528259,101.7041,2.5610,9.4852,0.3317
384,0.333188,0.221239,2.238975,1.520279,101.8442,2.4502,9.3471,0.3541
385,0.332731,0.222842,2.197767,1.526887,101.7005,2.4853,9.3934,0.3433
386,0.332839,0.222863,2.199510,1.526920,101.8254,2.4759,9.4248,0.3460
387,0.332830,0.223425,2.188107,1.528476,101.6433,2.4862,9.4722,0.3462
388,0.332851,0.222807,2.200868,1.526868,101.7072,2.5132,9.4003,0.3372
389,0.333221,0.223530,2.193824,1.528494,101.9728,2.5047,9.4802,0.3084
390,0.332684,0.220335,2.246971,1.518801,101.8660,2.4969,9.4168,0.3464
391,0.332459,0.222106,2.207049,1.525508,101.8707,2.4362,9.2905,0.3448
392,0.332275,0.222678,2.191923,1.527186,101.5799,2.4161,9.3000,0.3576
393,0.332046,0.222209,2.196742,1.526203,101.6580,2.4394,9.3382,0.3662
394,0.332192,0.222242,2.198985,1.525802,101.6800,2.4284,9.3429,0.3541
395,0.332018,0.221880,2.202761,1.525286,101.6978,2.4498,9.3884,0.3511
396,0.332329,0.222406,2.198461,1.526131,101.6639,2.4501,9.3745,0.3606
397,0.332111,0.220579,2.230628,1.520793,101.6252,2.4552,9.3477,0.3591
398,0.332219,0.221723,2.209934,1.523928,101.5593,2.4265,9.3455,0.3570
399,0.331998,0.221908,2.201798,1.524946,101.6264,2.4412,9.3715,0.3433
400,0.332201,0.222418,2.195669,1.525865,101.5421,2.4144,9.3634,0.3567
401,0.332100,0.222336,2.195287,1.526020,101.6085,2.4592,9.3966,0.3635
402,0.332249,0.220891,2.227148,1.521011,101.6776,2.4315,9.3329,0.3532
403,0.332022,0.221519,2.210052,1.523696,101.6395,2.4414,9.3733,0.3511
404,0.332148,0.222228,2.198390,1.525286,101.6028,2.4210,9.3753,0.3606
405,0.331986,0.221946,2.200792,1.525129,101.5675,2.4429,9.4192,0.3571
406,0.332284,0.222368,2.198313,1.525676,101.5508,2.4445,9.4052,0.3658
407,0.332074,0.220770,2.226093,1.520798,101.5179,2.4551,9.3812,0.3627
408,0.332164,0.221625,2.210773,1.523521,101.6173,2.4206,9.3650,0.3506
409,0.332001,0.222043,2.199168,1.525043,101.4883,2.4325,9.3912,0.3512
410,0.332055,0.221892,2.203275,1.524789,101.6190,2.4649,9.4047,0.3505
411,0.332237,0.220932,2.226104,1.521026,101.6616,2.4277,9.3445,0.3749
412,0.331995,0.221412,2.211656,1.523455,101.6094,2.4438,9.3838,0.3505
413,0.332135,0.222192,2.198855,1.525193,101.6210,2.4220,9.3843,0.3603
414,0.331967,0.221934,2.200676,1.525091,101.5759,2.4433,9.4273,0.3572
415,0.332120,0.221834,2.205734,1.524672,101.6212,2.4607,9.4293,0.3599
416,0.332211,0.220962,2.224986,1.521273,101.5103,2.4677,9.3643,0.3641
417,0.332049,0.219928,2.242428,1.518285,101.6333,2.4632,9.3982,0.3388
418,0.332187,0.221508,2.213570,1.522745,101.6185,2.4188,9.3784,0.3533
419,0.331950,0.221879,2.201415,1.524572,101.5344,2.4334,9.4114,0.3530
420,0.332050,0.221959,2.201816,1.524786,101.6490,2.4753,9.4409,0.3610
421,0.332261,0.220381,2.237599,1.519686,101.7836,2.4405,9.3724,0.3522
422,0.332036,0.221500,2.210718,1.523452,101.6274,2.4509,9.4109,0.3498
423,0.332168,0.221919,2.204984,1.524518,101.6621,2.4261,9.4079,0.3606
424,0.332006,0.221847,2.203196,1.524681,101.5830,2.4397,9.3647,0.3595
425,0.332036,0.221801,2.204707,1.524783,101.5924,2.4339,9.3838,0.3636
426,0.331982,0.222097,2.197691,1.525515,101.6082,2.4344,9.4092,0.3666
427,0.332093,0.222334,2.195175,1.525763,101.6097,2.4194,9.4010,0.3530
428,0.332026,0.222231,2.195898,1.525725,101.6597,2.4627,9.4310,0.3616
429,0.332219,0.220793,2.228521,1.520674,101.7037,2.4330,9.3650,0.3524
430,0.331980,0.221484,2.209918,1.523521,101.6471,2.4413,9.4027,0.3509
431,0.332015,0.221690,2.206492,1.524175,101.6533,2.4353,9.4186,0.3551
432,0.331891,0.221550,2.206836,1.524194,101.6047,2.4476,9.3870,0.3533
433,0.332047,0.222057,2.199798,1.525617,101.6242,2.4413,9.3932,0.3583
434,0.332154,0.222270,2.197666,1.525759,101.5511,2.4239,9.3946,0.3560
435,0.331947,0.221984,2.199270,1.525288,101.6183,2.4419,9.4222,0.3427
436,0.332147,0.222024,2.202453,1.525058,101.5973,2.4756,9.4345,0.3424
437,0.332143,0.220154,2.239791,1.519351,101.6702,2.4674,9.3929,0.3451
438,0.332048,0.220935,2.222270,1.522202,101.6508,2.4606,9.4150,0.3475
439,0.332028,0.221225,2.216067,1.523250,101.6256,2.4416,9.4173,0.3558
440,0.332091,0.222134,2.199143,1.525564,101.5959,2.4615,9.4289,0.3705
441,0.332154,0.220405,2.234973,1.520167,101.6798,2.4699,9.3201,0.3479
442,0.332216,0.221498,2.214356,1.523768,101.7153,2.4376,9.4039,0.3588
443,0.331940,0.221344,2.211931,1.523574,101.6358,2.4522,9.4453,0.3569
444,0.332031,0.221591,2.208805,1.524105,101.6029,2.4573,9.3935,0.3576
445,0.332154,0.221762,2.207835,1.524488,101.6265,2.4307,9.3937,0.3690
446,0.331945,0.221841,2.202079,1.524809,101.5124,2.4559,9.4374,0.3651
447,0.332226,0.221954,2.205429,1.524731,101.6350,2.4525,9.4076,0.3514
448,0.332046,0.220443,2.232066,1.520113,101.5426,2.4486,9.3689,0.3544
449,0.331988,0.221261,2.214552,1.522971,101.6672,2.4558,9.4131,0.3641
450,0.332077,0.221593,2.209662,1.523925,101.7063,2.4352,9.4215,0.3738
451,0.332061,0.221807,2.205077,1.524621,101.6158,2.4629,9.4275,0.3539
452,0.332093,0.220630,2.229251,1.520469,101.5796,2.4463,9.3809,0.3594
453,0.331954,0.221034,2.218404,1.522494,101.6363,2.4506,9.4162,0.3585
454,0.331732,0.220819,2.218261,1.522813,101.7468,2.4332,9.4113,0.3661
455,0.331734,0.221358,2.207510,1.523947,101.5992,2.4182,9.3607,0.3613
456,0.331630,0.221384,2.204931,1.524286,101.5510,2.4224,9.3763,0.3632
457,0.331702,0.221522,2.203597,1.524265,101.4662,2.4069,9.3711,0.3716
458,0.331614,0.221546,2.201350,1.524441,101.4827,2.4282,9.3808,0.3660
459,0.331632,0.220343,2.225783,1.520845,101.5533,2.4341,9.3684,0.3661
460,0.331696,0.220807,2.217772,1.522027,101.5092,2.4164,9.3676,0.3727
461,0.331604,0.220912,2.213836,1.522551,101.4511,2.4224,9.3876,0.3722
462,0.331675,0.221297,2.207554,1.523317,101.4478,2.4089,9.3421,0.3723
463,0.331589,0.221348,2.204833,1.523893,101.5343,2.4193,9.3658,0.3700
464,0.331614,0.220998,2.212307,1.522986,101.4730,2.4253,9.3826,0.3649
465,0.331655,0.221368,2.205746,1.523736,101.5639,2.4132,9.3798,0.3663
466,0.331607,0.221347,2.205187,1.523890,101.5247,2.4331,9.3929,0.3656
467,0.331712,0.220603,2.222167,1.521160,101.5019,2.4191,9.3597,0.3722
468,0.331595,0.220773,2.216442,1.522002,101.4443,2.4234,9.3805,0.3718
469,0.331562,0.220778,2.215685,1.522181,101.4914,2.4288,9.3990,0.3711
470,0.331676,0.221180,2.209933,1.523097,101.4947,2.4265,9.3880,0.3706
471,0.331598,0.220333,2.225293,1.520655,101.5882,2.4331,9.3759,0.3691
472,0.331666,0.220780,2.217724,1.521866,101.5772,2.4181,9.3742,0.3646
473,0.331563,0.221009,2.211080,1.522699,101.5388,2.4245,9.3932,0.3642
474,0.331674,0.221358,2.206332,1.523459,101.5088,2.4094,9.3501,0.3713
475,0.331586,0.221373,2.204269,1.523827,101.4462,2.4183,9.3721,0.3706
476,0.331575,0.221075,2.209993,1.523142,101.5039,2.4254,9.3930,0.3702
477,0.331642,0.221319,2.206468,1.523526,101.4972,2.4147,9.3912,0.3698
478,0.331581,0.221275,2.206136,1.523533,101.4887,2.4318,9.3968,0.3637
479,0.331639,0.220383,2.225108,1.520572,101.4677,2.4341,9.3772,0.3655
480,0.331663,0.220776,2.217737,1.521802,101.5503,2.4164,9.3739,0.3675
481,0.331555,0.220976,2.211595,1.522584,101.4896,2.4237,9.3937,0.3670
482,0.331599,0.221044,2.211090,1.522738,101.4970,2.4191,9.3609,0.3701
483,0.331605,0.221345,2.205202,1.523721,101.4272,2.4164,9.3739,0.3729
484,0.331542,0.221076,2.209320,1.523191,101.4989,2.4239,9.3954,0.3725
485,0.331678,0.221386,2.205828,1.523684,101.4599,2.4233,9.3837,0.3721
486,0.331578,0.220456,2.222429,1.521006,101.5589,2.4312,9.3726,0.3703
487,0.331647,0.220849,2.215956,1.522059,101.5528,2.4169,9.3717,0.3657
488,0.331544,0.221048,2.209931,1.522803,101.5173,2.4239,9.3915,0.3652
489,0.331594,0.221092,2.210031,1.522986,101.5273,2.4312,9.3929,0.3678
490,0.331632,0.220478,2.223091,1.520784,101.4546,2.4259,9.3686,0.3712
491,0.331568,0.220555,2.220261,1.521402,101.4802,2.4283,9.3880,0.3711
492,0.331626,0.221044,2.211641,1.522528,101.4721,2.4148,9.3847,0.3706
493,0.331545,0.221187,2.207176,1.523287,101.5662,2.4218,9.3638,0.3693
494,0.331639,0.221421,2.204351,1.523849,101.5551,2.4122,9.3642,0.3645
495,0.331559,0.221314,2.204882,1.523717,101.5305,2.4207,9.3863,0.3642
496,0.331572,0.221200,2.207430,1.523368,101.5307,2.4197,9.3974,0.3669
497,0.331570,0.221185,2.207709,1.523394,101.4958,2.4388,9.4091,0.3658
498,0.331646,0.220443,2.224054,1.520808,101.4853,2.4347,9.3876,0.3689
499,0.331654,0.220731,2.218458,1.521747,101.4809,2.4187,9.3858,0.3688
500,0.331537,0.220938,2.211978,1.522544,101.4863,2.4239,9.3989,0.3627
