epoch,train_loss,train_mae,train_mape,val_loss,val_mae,val_mape,mean_alpha,mean_K,mean_beta
1,0.443361,1.689002,103.0710,0.781963,2.985023,135.0514,0.7895,4.8035,0.0324
2,0.399412,1.645503,113.3829,0.611446,2.833755,133.3906,1.0352,6.5196,0.1227
3,0.310222,1.503965,103.7079,0.469142,2.630257,150.7579,2.0849,6.9018,0.9682
4,0.244629,1.361588,96.2900,0.445950,2.608669,187.6267,2.8230,7.4199,0.0789
5,0.222169,1.322503,96.1302,0.448770,2.631582,210.1508,3.4786,6.8946,0.5011
6,0.227360,1.323648,95.2808,0.470580,2.678956,239.9787,4.4249,8.2974,0.1073
7,0.218451,1.298038,98.6449,0.407081,2.479057,207.0907,4.0347,7.4011,0.5483
8,0.203959,1.253794,95.7878,0.390633,2.408156,201.3023,3.9377,7.2876,0.3794
9,0.203228,1.241690,96.4564,0.386583,2.360940,202.5203,4.0904,7.5393,0.4383
10,0.198903,1.218358,96.0614,0.385909,2.325603,204.8516,4.2126,7.5779,0.4830
11,0.195607,1.195523,96.0323,0.374403,2.278723,199.2227,4.0453,7.4267,0.4693
12,0.193261,1.186017,96.1750,0.369577,2.239046,197.5732,3.9316,7.5018,0.4743
13,0.191471,1.176037,96.8450,0.380145,2.223674,205.4095,4.2051,7.7074,0.4686
14,0.189473,1.154038,96.4756,0.376835,2.193471,204.4451,4.0976,7.7599,0.5071
15,0.188807,1.149034,96.3673,0.385752,2.179356,210.1265,4.2827,7.8377,0.4677
16,0.187109,1.132692,96.7406,0.394308,2.171856,215.6594,4.4672,7.9443,0.4891
17,0.186657,1.118658,96.0018,0.400137,2.167458,220.0885,4.5218,8.1363,0.4126
18,0.186116,1.112891,96.1306,0.404661,2.156434,223.0915,4.5470,8.2965,0.3419
19,0.186609,1.110427,95.1567,0.408425,2.139977,224.2303,4.6185,8.1388,0.4414
20,0.184217,1.093260,95.4416,0.417889,2.150831,230.8581,4.7572,8.4430,0.3059
21,0.185747,1.099382,95.8480,0.419698,2.133324,231.3693,4.7409,8.3940,0.2587
22,0.185205,1.090728,95.4440,0.423006,2.129292,233.4012,4.7977,8.4026,0.2375
23,0.185393,1.090048,95.2480,0.425331,2.120555,234.5196,4.8354,8.4114,0.2484
