epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta_start,mean_beta_end,mean_t_switch
61,0.229971,0.228163,0.180859,2.101680,36.0171,7.1353,5.7525,0.8270,0.4476,0.8349
62,0.228402,0.226626,0.177555,2.093131,36.0092,7.1879,5.7733,0.8338,0.4635,0.8361
63,0.226833,0.225095,0.173822,2.084284,35.9180,7.2406,5.7947,0.8436,0.4844,0.8348
64,0.225303,0.223577,0.172615,2.075555,35.8501,7.2907,5.8146,0.8525,0.5097,0.8361
65,0.223786,0.222098,0.168846,2.066726,35.8129,7.3392,5.8330,0.8369,0.5385,0.8366
66,0.222405,0.220653,0.175264,2.058294,35.8462,7.3899,5.8487,0.8400,0.5364,0.8394
67,0.220951,0.219413,0.153714,2.049993,35.6757,7.4379,5.8664,0.8466,0.5221,0.8381
68,0.219522,0.218052,0.147041,2.041751,35.7276,7.4868,5.8822,0.8503,0.5343,0.8333
69,0.218227,0.216671,0.155643,2.033068,35.5887,7.5347,5.8989,0.8604,0.5298,0.8311
70,0.216792,0.215459,0.133300,2.025443,35.6072,7.5834,5.9137,0.8729,0.5191,0.8345
71,0.215452,0.214144,0.130816,2.016927,35.4600,7.6298,5.9302,0.8627,0.5306,0.8315
72,0.214245,0.212867,0.137814,2.008842,35.6417,7.6798,5.9410,0.8607,0.5273,0.8373
73,0.212821,0.211713,0.110774,2.001404,35.3675,7.7250,5.9578,0.8687,0.5190,0.8320
74,0.211552,0.210442,0.110946,1.993249,35.5231,7.7736,5.9693,0.8812,0.5108,0.8325
75,0.210273,0.209307,0.096586,1.985527,35.3248,7.8196,5.9845,0.8915,0.5023,0.8283
76,0.208976,0.208085,0.089097,1.977336,35.3907,7.8677,5.9964,0.8899,0.5125,0.8323
77,0.207829,0.206875,0.095433,1.968405,35.2545,7.9112,6.0098,0.8382,0.5108,0.8326
78,0.206505,0.205788,0.071655,1.961318,35.4472,7.9444,6.0127,0.8339,0.5052,0.8393
79,0.205333,0.204552,0.078131,1.952397,35.1063,7.9808,6.0300,0.8376,0.4993,0.8338
80,0.204100,0.203489,0.061118,1.944853,35.3874,8.0292,6.0415,0.8394,0.4931,0.8341
81,0.202863,0.202272,0.059163,1.935766,35.0382,8.0729,6.0616,0.8479,0.5034,0.8291
82,0.201746,0.201059,0.068674,1.927063,35.2207,8.1187,6.0692,0.8604,0.5028,0.8344
83,0.200558,0.199997,0.056106,1.918926,34.9214,8.1612,6.0866,0.8488,0.4835,0.8301
84,0.199424,0.199022,0.040253,1.911336,35.3123,8.2102,6.0943,0.8456,0.4742,0.8327
85,0.198260,0.197913,0.034755,1.902471,34.8064,8.2516,6.1142,0.8524,0.4828,0.8298
86,0.197082,0.196723,0.035846,1.893394,35.1382,8.2988,6.1235,0.8613,0.4825,0.8334
87,0.195956,0.195713,0.024339,1.884977,34.7712,8.3414,6.1406,0.8642,0.4795,0.8298
88,0.194810,0.194577,0.023343,1.875881,34.9472,8.3878,6.1577,0.8750,0.4759,0.8308
89,0.193756,0.193490,0.026633,1.866935,34.6937,8.4318,6.1780,0.8668,0.4722,0.8287
90,0.192632,0.192395,0.023690,1.857901,34.8678,8.4785,6.1909,0.8698,0.4687,0.8308
91,0.191619,0.191417,0.020167,1.849310,34.5935,8.5208,6.2093,0.8709,0.4652,0.8282
92,0.190503,0.190349,0.015378,1.840310,34.7833,8.5671,6.2194,0.8814,0.4755,0.8304
93,0.189517,0.189196,0.032115,1.830572,34.4261,8.6097,6.2398,0.8871,0.4765,0.8282
94,0.188424,0.188220,0.020397,1.821731,34.7091,8.6534,6.2566,0.8598,0.4613,0.8302
95,0.187427,0.187220,0.020746,1.812806,34.3727,8.6789,6.2743,0.8332,0.4546,0.8305
96,0.186371,0.186217,0.015459,1.803870,34.7478,8.7215,6.2750,0.8338,0.4635,0.8343
97,0.185365,0.185150,0.021484,1.794209,34.1373,8.7618,6.2986,0.8406,0.4645,0.8276
98,0.184353,0.184173,0.017948,1.785284,34.6210,8.8070,6.3100,0.8498,0.4502,0.8296
99,0.183325,0.183228,0.009651,1.776116,34.1409,8.8477,6.3298,0.8520,0.4441,0.8273
100,0.182260,0.182181,0.007926,1.766410,34.3320,8.8936,6.3393,0.8624,0.4530,0.8284
101,0.181318,0.181147,0.017059,1.756734,34.0508,8.9374,6.3574,0.8504,0.4543,0.8266
102,0.180301,0.180213,0.008823,1.747459,34.2544,8.9834,6.3728,0.8463,0.4408,0.8270
103,0.179379,0.179313,0.006639,1.738325,33.9446,9.0268,6.3893,0.8536,0.4351,0.8253
104,0.178364,0.178334,0.003021,1.728905,34.0992,9.0723,6.4020,0.8657,0.4439,0.8253
105,0.177395,0.177229,0.016602,1.718479,33.8127,9.1160,6.4245,0.8752,0.4453,0.8232
106,0.176405,0.176328,0.007767,1.709123,33.9586,9.1619,6.4344,0.8791,0.4322,0.8242
107,0.175501,0.175482,0.001853,1.700264,33.7147,9.2057,6.4451,0.8690,0.4268,0.8213
108,0.174606,0.174562,0.004491,1.690471,33.8970,9.2567,6.4271,0.8742,0.4355,0.8219
109,0.173946,0.173527,0.041903,1.683662,33.6530,9.3205,6.4152,0.8747,0.4373,0.8099
110,0.172899,0.172869,0.003091,1.672199,33.9612,9.3762,6.4397,0.8761,0.4246,0.8095
111,0.171916,0.171704,0.021162,1.663292,33.4503,9.4120,6.4559,0.8866,0.4195,0.8064
112,0.170847,0.170804,0.004375,1.651626,33.7816,9.4565,6.4630,0.8914,0.4281,0.8079
113,0.170057,0.169840,0.021655,1.642702,33.3219,9.4972,6.4810,0.8577,0.4294,0.8018
114,0.169146,0.168975,0.017146,1.631329,33.6364,9.5317,6.4954,0.8386,0.4165,0.8069
115,0.168250,0.168102,0.014827,1.623642,33.2707,9.5727,6.5003,0.8401,0.4108,0.8021
116,0.167276,0.167257,0.001937,1.611932,33.3462,9.6205,6.5182,0.8466,0.4183,0.7938
117,0.166539,0.166297,0.024260,1.603313,33.1630,9.6632,6.5298,0.8493,0.4182,0.7840
118,0.165613,0.165514,0.009881,1.592140,33.1436,9.7062,6.5478,0.8617,0.4036,0.7712
119,0.164771,0.164694,0.007673,1.584438,33.0232,9.7489,6.5556,0.8768,0.3958,0.7565
120,0.164027,0.163912,0.011472,1.573243,33.0047,9.7941,6.5765,0.8527,0.3896,0.7446
121,0.163248,0.163152,0.009556,1.565445,32.9517,9.8386,6.5832,0.8391,0.3841,0.7313
122,0.162463,0.162411,0.005280,1.554208,32.8039,9.8846,6.6013,0.8474,0.3782,0.7186
123,0.161737,0.161656,0.008141,1.546764,32.8046,9.9290,6.6124,0.8628,0.3725,0.7010
124,0.161043,0.160904,0.013917,1.536249,32.6320,9.9746,6.6303,0.8775,0.3662,0.6892
125,0.160330,0.160216,0.011400,1.531453,32.7157,10.0184,6.6347,0.8616,0.3612,0.6718
126,0.159720,0.159650,0.006946,1.523114,32.5152,10.0647,6.6445,0.8492,0.3556,0.6726
127,0.159122,0.159051,0.007113,1.518941,32.6705,10.1079,6.6573,0.8534,0.3529,0.6654
128,0.158520,0.158428,0.009219,1.509928,32.4592,10.1532,6.6754,0.8583,0.3491,0.6732
129,0.157933,0.157858,0.007567,1.505878,32.5653,10.1955,6.6780,0.8730,0.3485,0.6672
130,0.157392,0.157321,0.007076,1.497543,32.3916,10.2414,6.6972,0.8859,0.3462,0.6729
131,0.156854,0.156714,0.014026,1.492994,32.4027,10.2800,6.7113,0.8658,0.3478,0.6659
132,0.156381,0.156268,0.011290,1.485462,32.5998,10.3099,6.7043,0.8670,0.3469,0.6797
133,0.155979,0.155852,0.012732,1.482226,32.0187,10.3421,6.7305,0.8566,0.3509,0.6694
134,0.155641,0.155451,0.018981,1.474910,33.1063,10.3889,6.7316,0.8516,0.3512,0.6791
135,0.155133,0.154953,0.017995,1.473040,31.9273,10.4229,6.7400,0.8249,0.3469,0.6723
136,0.154634,0.154615,0.001915,1.467451,32.3742,10.4668,6.7517,0.8203,0.3448,0.6790
137,0.154236,0.154122,0.011397,1.465166,32.3633,10.5106,6.7565,0.8320,0.3627,0.6725
138,0.153801,0.153680,0.012077,1.459634,31.9871,10.5544,6.7738,0.8487,0.3673,0.6760
139,0.153455,0.153251,0.020322,1.457672,32.3038,10.5965,6.7766,0.8420,0.3683,0.6713
140,0.153115,0.153082,0.003344,1.453186,32.0465,10.6420,6.7934,0.8418,0.3672,0.6766
141,0.152778,0.152588,0.018923,1.451123,32.2036,10.6838,6.7984,0.8547,0.3887,0.6708
142,0.152376,0.152232,0.014402,1.445520,31.9210,10.7293,6.8120,0.8727,0.3935,0.6766
143,0.152110,0.151857,0.025368,1.444180,32.1707,10.7712,6.8121,0.8878,0.3972,0.6712
144,0.151752,0.151737,0.001532,1.440060,31.8365,10.8169,6.8169,0.8960,0.3956,0.6784
145,0.151352,0.151262,0.008987,1.436334,32.0589,10.8613,6.8312,0.8875,0.4043,0.6794
146,0.151144,0.150904,0.023932,1.432558,31.7459,10.9077,6.8313,0.8733,0.4103,0.6833
147,0.150800,0.150777,0.002304,1.431783,32.0787,10.9527,6.8471,0.8707,0.4024,0.6848
148,0.150664,0.150457,0.020788,1.431166,31.8058,10.9964,6.8484,0.8778,0.4137,0.6787
149,0.150408,0.150282,0.012621,1.428188,32.0538,11.0385,6.8592,0.8433,0.3789,0.6813
150,0.150234,0.149978,0.025683,1.429138,31.8855,11.0631,6.8463,0.8366,0.3633,0.6800
151,0.149796,0.149761,0.003479,1.424555,31.9529,11.1054,6.8565,0.8366,0.3498,0.6754
152,0.149541,0.149459,0.008107,1.423598,31.7586,11.1515,6.8608,0.8281,0.3480,0.6735
153,0.149257,0.149230,0.002680,1.420946,31.9440,11.1917,6.8682,0.8384,0.3587,0.6768
